candidate_id,rank,score,reasoning
CAND_0040955,88,0.6221,"Junior ML Engineer with 6.6 yrs experience; matched JD skills: Embeddings, NLP; has product company experience; 78 months in AI/ML roles; tier_1 institution (NIT Surathkal); based in preferred location (Pune, Maharashtra); active 47 days ago; notice period 30 days (ideal); no GitHub linked; certifications: LangChain for LLM Application Development, Google Cloud Professional ML Engineer."
CAND_0093763,89,0.622,"Senior Software Engineer (ML) with 5.0 yrs experience; matched JD skills: FAISS; has product company experience; 59 months in AI/ML roles; tier_1 institution (NIT Warangal); based in preferred location (Noida, Uttar Pradesh); active in last 30 days; high recruiter response rate (92%); notice period 90 days (long); no GitHub linked."
CAND_0098952,90,0.6217,"AI Research Engineer with 5.5 yrs experience; matched JD skills: OpenSearch, NLP, Python; has product company experience; 65 months in AI/ML roles; tier_2 institution (PES University); based in preferred location (Gurgaon, Haryana); inactive for 104 days (penalized); high recruiter response rate (66%)."
CAND_0090155,91,0.6213,"ML Engineer with 5.8 yrs experience; matched JD skills: Milvus, Qdrant, Pinecone; has product company experience; 69 months in AI/ML roles; tier_2 institution (Anna University); based in preferred location (Pune, Maharashtra); active 35 days ago; high recruiter response rate (64%); notice period 90 days (long); strong GitHub activity (76/100)."
CAND_0027691,92,0.6209,"NLP Engineer with 6.5 yrs experience; matched JD skills: Weaviate, Embeddings, Python; has product company experience; 76 months in AI/ML roles; tier_2 institution (Thapar University); based in preferred location (Pune, Maharashtra); active 78 days ago; high recruiter response rate (68%); notice period 15 days (ideal); strong GitHub activity (58/100)."
CAND_0018701,93,0.6206,"Junior ML Engineer with 6.0 yrs experience; matched JD skills: Elasticsearch, Information Retrieval; has product company experience; 71 months in AI/ML roles; tier_2 institution (VIT Vellore); based in preferred location (Delhi, Delhi); active 60 days ago; high recruiter response rate (71%)."
CAND_0005895,94,0.6198,"Analytics Engineer with 5.5 yrs experience; matched JD skills: FAISS, OpenSearch; has product company experience; 65 months in AI/ML roles; tier_1 institution (IIT Bombay); based in preferred location (Hyderabad, Telangana); inactive for 151 days (penalized); high recruiter response rate (66%); notice period 90 days (long)."
CAND_0093474,95,0.6195,"Senior Software Engineer (ML) with 5.3 yrs experience; matched JD skills: Qdrant, FAISS; has product company experience; 62 months in AI/ML roles; tier_1 institution (NIT Warangal); based in preferred location (Delhi, Delhi); active in last 30 days; notice period 90 days (long); no GitHub linked."
CAND_0004650,96,0.6173,".NET Developer with 8.0 yrs experience; matched JD skills: Qdrant, OpenSearch; has product company experience; 94 months in AI/ML roles; tier_1 institution (IIT Roorkee); based in preferred location (Pune, Maharashtra); active in last 30 days; high recruiter response rate (79%); notice period 90 days (long); no GitHub linked; certifications: AWS Certified Cloud Practitioner, Six Sigma Green Belt."
CAND_0041610,97,0.6173,"Recommendation Systems Engineer with 6.7 yrs experience; matched JD skills: Elasticsearch, OpenSearch, Embeddings; has product company experience; 79 months in AI/ML roles; tier_2 institution (SRM University); based in India (Indore, Madhya Pradesh); active 34 days ago; notice period 30 days (ideal); strong GitHub activity (52/100); certifications: AWS Certified Machine Learning Specialty, Deep Learning Specialization."
CAND_0040946,98,0.6171,"AI Research Engineer with 6.0 yrs experience; matched JD skills: Qdrant, NLP; has product company experience; 71 months in AI/ML roles; tier_1 institution (IIT Kharagpur); based in preferred location (Pune, Maharashtra); active in last 30 days; certifications: Deep Learning Specialization, NLP Specialization."
CAND_0070525,99,0.6167,"Senior Software Engineer (ML) with 5.4 yrs experience; matched JD skills: Python, Embeddings; has product company experience; 64 months in AI/ML roles; tier_2 institution (VIT Vellore); based in preferred location (Hyderabad, Telangana); active in last 30 days; high recruiter response rate (93%)."
CAND_0051292,100,0.6159,"Applied ML Engineer with 5.2 yrs experience; matched JD skills: FAISS, NLP, Elasticsearch; has product company experience; 60 months in AI/ML roles; tier_2 institution (Manipal Institute of Technology); based in India (Trivandrum, Kerala); active 66 days ago; notice period 30 days (ideal); strong GitHub activity (62/100)."
